mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal
71	68	204	210	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	472		articAccentAbove												
71	68	202	208	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	473														
71	68	203	209	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	474														
71	68	204	210	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	475		articAccentAbove												
72	69	205	211	0.0		0	0	Spanner	3/4	1	1	0																	3	
72	69	205	211	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	476									42				3	
72	69	413/2	425/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	477									42				3	
72	69	207	213	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	478									42				3	
72	69	415/2	427/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	479									42				3	
72	69	205	211	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	480														
72	69	206	212	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	481														
73	70	208	214	0.0		0	0	Spanner	3/4	1	1	0													42					
73	70	208	214	0.0		0	0	Spanner	3/4	1	1	0													42				4	
73	70	208	214	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	482									42				4	
73	70	417/2	429/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	483									42				4	
73	70	209	215	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	484									42				4	
73	70	419/2	431/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	485									42				4	
73	70	210	216	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	486									42				4	
73	70	421/2	433/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	487													4	
73	70	208	214	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	488														
73	70	209	215	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	489														
73	70	210	216	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	490														
74	71	211	217	0.0		0	0	Spanner	3/4	1	1	0																		
74	71	211	217	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	491		articAccentAbove							43					
74	71	212	218	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	492									43					
74	71	425/2	437/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	493									43					
74	71	213	219	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	494									43					
74	71	427/2	439/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	495									43					
74	71	211	217	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	496														
74	71	212	218	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	497														
74	71	213	219	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	498														
75	72	214	220	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	499									43					
75	72	429/2	441/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	500									43					
75	72	215	221	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	501									43					
75	72	431/2	443/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	502									43					
75	72	216	222	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	503									43					
75	72	433/2	445/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	504														
75	72	214	220	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	505														
75	72	215	221	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	506														
76	73	217	223	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	507									44					
76	73	437/2	449/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	508									44					
76	73	219	225	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	509									44					
76	73	439/2	451/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	510									44					
76	73	217	223	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	511														
76	73	218	224	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	512														
76	73	219	225	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	513														
77	74	220	226	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	514									44					
77	74	661/3	679/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	515									44					
77	74	662/3	680/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	516									44					
77	74	221	227	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	517									44					
77	74	222	228	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	518														
77	74	220	226	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	519														
77	74	221	227	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	520														
77	74	222	228	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	521		articAccentAbove												
78	75	223	229	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	522									45					
78	75	449/2	461/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	523									45					
78	75	225	231	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	524									45					
78	75	451/2	463/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	525									45					
78	75	224	230	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	526														
78	75	225	231	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	527														
79	76	226	232	0.0		0	0	Spanner	3/4	1	1	0													45		2			
79	76	226	232	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	528									45		2			
79	76	679/3	697/3	0.0		1/12	1/12	Spanner	3/4	1	1	0													45					
79	76	679/3	697/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	529									45					
79	76	680/3	698/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	530									45					
79	76	227	233	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	531									45					
79	76	228	234	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	532		articAccentAbove												
79	76	226	232	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	533														
79	76	227	233	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	534														
80	77	229	235	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	535									46					
80	77	459/2	471/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	536									46					
80	77	230	236	0.0		1/4	1/4	Spanner	3/4	1	1	0													46			1		
80	77	230	236	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	537									46			1		
80	77	461/2	473/2	0.0		3/8	3/8	Spanner	3/4	1	1	0													46					
80	77	461/2	473/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	538									46					
80	77	231	237	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	539									46					
80	77	463/2	475/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	540									46					
80	77	229	235	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	541														
80	77	230	236	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	542														
81	78	232	238	0.0		0	0	StaffText	3/4	1	1	0							legatissimo						46					
81	78	232	238	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	543									46					
81	78	465/2	477/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	544									46					
81	78	233	239	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	545									46					
81	78	467/2	479/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	546									46					
81	78	234	240	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	547									46					
81	78	469/2	481/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	548														
82	79	235	241	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	549									47					
82	79	471/2	483/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	550									47					
82	79	236	242	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	551									47					
82	79	473/2	485/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	552									47					
82	79	237	243	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	553									47					
82	79	475/2	487/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	554									47					
82	79	235	241	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	555														
82	79	236	242	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	556														
82	79	237	243	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	557														
83	80	238	244	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	558									47					
83	80	477/2	489/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	559									47					
83	80	239	245	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	560														
83	80	238	244	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	561														
83	80	239	245	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	562														
