mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	HairPin:3_decresc.	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
68	68	201	201	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	488																	
68	68	201	201	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	489																	
68	68	201	201	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	490																	
68	68	203	203	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	491		articAccentBelow															
68	68	201	201	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	492																	
68	68	202	202	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	493																	
69	69	204	204	0.0	0	0	Dynamic	3/4	1	1	0					f																
69	69	204	204	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	494																	
69	69	819/4	819/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	495										74							
69	69	205	205	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	496		articStaccatissimoBelow															
69	69	206	206	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	497		articAccentBelow															
69	69	204	204	0.0	0	0	Spanner	3/4	2	1	0																				17	17
69	69	204	204	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	498																17	17
69	69	205	205	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	499																17	17
69	69	206	206	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	500																17	17
70	70	207	207	0.0	0	0	Spanner	3/4	1	1	0															3						
70	70	207	207	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	501		articStaccatissimoBelow									3						
70	70	415/2	415/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																					
70	70	831/4	831/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	502										75							
70	70	208	208	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	503																	
70	70	209	209	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	504		articAccentAbove															
70	70	207	207	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	505																17	17
70	70	208	208	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	506																17	17
70	70	209	209	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	507		articAccentAbove														17	17
71	71	210	210	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	508										76							
71	71	631/3	631/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	509										76							
71	71	632/3	632/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	510																	
71	71	211	211	0.0	1/4	1/4	Spanner	3/4	1	1	0																			10		
71	71	211	211	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	511		articStaccatissimoAbove													10		
71	71	423/2	423/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	512										77					10		
71	71	212	212	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	513										77					10		
71	71	425/2	425/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	514										77					10		
71	71	210	210	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	515															10		
71	71	210	210	0.0	0	0	Spanner	3/4	2	1	0																					
71	71	210	210	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	516																	
71	71	211	211	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	517																	
71	71	212	212	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	518																	
72	72	213	213	0.0	0	0	Spanner	3/4	1	1	0																					
72	72	213	213	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	519																	
72	72	855/4	855/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	520										78							
72	72	214	214	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	521		articAccentAbove															
72	72	213	213	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	522																	
72	72	214	214	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	523																	
72	72	215	215	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	524																	
73	73	216	216	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	525										79							
73	73	649/3	649/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	526										79							
73	73	650/3	650/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	527																	
73	73	217	217	0.0	1/4	1/4	Spanner	3/4	1	1	0																			11		
73	73	217	217	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	528															11		
73	73	435/2	435/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	529										80					11		
73	73	218	218	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	530										80					11		
73	73	437/2	437/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	531										80					11		
73	73	216	216	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	532															11		
73	73	216	216	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	533																	
73	73	217	217	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	534																	
73	73	218	218	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	535																	
74	74	219	219	0.0	0	0	Spanner	3/4	1	1	0																					
74	74	219	219	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	536		articStaccatissimoAbove															
74	74	879/4	879/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	537										81							
74	74	220	220	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	538		articAccentAbove															
74	74	219	219	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	539																	
74	74	220	220	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	540																	
74	74	221	221	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	541																	
75	75	222	222	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	542		articStaccatissimoAbove															
75	75	891/4	891/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	543										82							
75	75	223	223	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	544		articAccentBelow															
75	75	222	222	0.0	0	0	Spanner	3/4	2	1	0																				18	18
75	75	222	222	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	545																18	18
75	75	223	223	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	546																18	18
75	75	224	224	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	547																18	18
76	76	225	225	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	548																	
76	76	903/4	903/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	549										83							
76	76	226	226	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	550																	
76	76	903/4	903/4	2.0	3/16	3/16	Chord	3/4	1	2	1/2		1/2	1	551		articAccentAbove															
76	76	225	225	0.0	0	0	Spanner	3/4	2	1	0																					
76	76	225	225	0.0	0	0	Spanner	3/4	2	1	0																				19	19
76	76	225	225	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	552																19	19
76	76	226	226	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	553																19	19
76	76	227	227	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	554		articAccentAbove														19	19
77	77	228	228	0.0	0	0	Dynamic	3/4	1	1	0					p																
77	77	228	228	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	555		articStaccatoBelow								84							
77	77	457/2	457/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	556		articStaccatoBelow								84							
77	77	229	229	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	557		articStaccatoBelow								84							
77	77	230	230	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	558		articStaccatoBelow								84							
77	77	228	228	0.0	0	0	Spanner	3/4	2	1	0																					
77	77	228	228	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	559																	
77	77	229	229	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	560																	
77	77	230	230	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	561		articAccentAbove															
78	78	231	231	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	562																	
78	78	231	231	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	563																	
78	78	231	231	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	564										85							
78	78	231	231	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	565																	
78	78	232	232	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	566																	
78	78	233	233	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	567		articAccentAbove															
79	79	234	234	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	568		articStaccatoBelow															
79	79	939/4	939/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	569		articStaccatoBelow								86							
79	79	235	235	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	570		articStaccatoBelow								86							
79	79	236	236	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	571		articStaccatoBelow								86							
79	79	234	234	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	572																	
79	79	235	235	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	573																	
79	79	236	236	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	574		articAccentAbove															
80	80	237	237	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	575																	
80	80	237	237	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	576																	
80	80	237	237	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	577																	
80	80	237	237	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	578																	
80	80	238	238	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	579																	
80	80	239	239	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	580		articAccentAbove															
81	81	240	240	0.0	0	0	Dynamic	3/4	1	1	0					f																
81	81	240	240	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	581																	
81	81	963/4	963/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	582										87							
81	81	241	241	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	583																	
81	81	242	242	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	584		articAccentBelow															
81	81	240	240	0.0	0	0	Spanner	3/4	2	1	0																				20	20
81	81	240	240	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	585																20	20
81	81	241	241	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	586																20	20
81	81	242	242	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	587		articAccentAbove														20	20
82	82	243	243	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	588																	
82	82	975/4	975/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	589										88							
82	82	244	244	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	590																	
82	82	245	245	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	591		articAccentAbove															
82	82	243	243	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	592																20	20
82	82	244	244	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	593																20	20
82	82	245	245	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	594		articAccentAbove														20	20
83	83	246	246	0.0	0	0	Spanner	3/4	1	1	0																			12		
83	83	246	246	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	595										89					12		
83	83	739/3	739/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	596										89					12		
83	83	740/3	740/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	597															12		
83	83	247	247	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	598		articStaccatissimoAbove													12		
83	83	495/2	495/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	599										90					12		
83	83	248	248	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	600										90					12		
83	83	497/2	497/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	601										90					12		
83	83	246	246	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	602															12		
83	83	246	246	0.0	0	0	Spanner	3/4	2	1	0																					
83	83	246	246	0.0	0	0	Spanner	3/4	2	1	0																				21	21
83	83	246	246	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	603																21	21
83	83	247	247	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	604																21	21
83	83	248	248	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	605																21	21
84	84	249	249	0.0	0	0	Spanner	3/4	1	1	0																					
84	84	249	249	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	606		articStaccatoAbove															
84	84	999/4	999/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	607										91							
84	84	250	250	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	608		articAccentAbove															
84	84	249	249	0.0	0	0	Spanner	3/4	2	1	0																					
84	84	249	249	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	609																	
84	84	250	250	0.0	1/4	1/4	Spanner	3/4	2	1	0																				22	22
84	84	250	250	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	610																22	22
84	84	251	251	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	611																22	22
85	85	252	252	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	612										92							
85	85	757/3	757/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	613										92							
85	85	758/3	758/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	614																	
85	85	253	253	0.0	1/4	1/4	Spanner	3/4	1	1	0																			13		
85	85	253	253	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	615		articStaccatissimoAbove													13		
85	85	507/2	507/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	616										93					13		
85	85	254	254	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	617										93					13		
85	85	509/2	509/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	618										93					13		
85	85	252	252	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	619															13		
85	85	252	252	0.0	0	0	Spanner	3/4	2	1	0																				22, 23	22, 23
85	85	252	252	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	620																22, 23	22, 23
85	85	253	253	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	621																22, 23	22, 23
85	85	254	254	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	622																22, 23	22, 23
86	86	255	255	0.0	0	0	Spanner	3/4	1	1	0																					
86	86	255	255	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	623		articStaccatoAbove															
86	86	1023/4	1023/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	624										94							
86	86	256	256	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	625		articAccentAbove															
86	86	255	255	0.0	0	0	Spanner	3/4	2	1	0																					
86	86	255	255	0.0	0	0	Spanner	3/4	2	1	0																					
86	86	255	255	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	626																	
86	86	256	256	0.0	1/4	1/4	Spanner	3/4	2	1	0																				24	24
86	86	256	256	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	627																24	24
86	86	257	257	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	628																24	24
87	87	258	258	0.0	0	0	Dynamic	3/4	1	1	0					p																
87	87	258	258	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	629		articStaccatoAbove								95							
87	87	517/2	517/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	630		articStaccatoAbove								95							
87	87	259	259	0.0	1/4	1/4	Spanner	3/4	1	1	0																			14		
87	87	259	259	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	631		articStaccatoAbove													14		
87	87	260	260	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	632										96					14		
87	87	258	258	0.0	0	0	Spanner	3/4	2	1	0																					
87	87	258	258	0.0	0	0	Spanner	3/4	2	1	0																1	1				
87	87	258	258	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	633												1	1				
87	87	259	259	0.0	1/4	1/4	Spanner	3/4	2	1	0																					
87	87	259	259	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	634																	
87	87	260	260	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	635																	
88	88	261	261	0.0	0	0	Spanner	3/4	1	1	0																					
88	88	261	261	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	636										97							
88	88	263	263	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	637		articStaccatissimoAbove															
88	88	261	261	0.0	0	0	Spanner	3/4	2	1	0																				25	25
88	88	261	261	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	638																25	25
88	88	262	262	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	639																25	25
88	88	263	263	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	640																25	25
89	89	264	264	0.0	0	0	StaffText	3/4	1	1	0							rit.														
89	89	264	264	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	641		articAccentAbove								98							
89	89	529/2	529/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	642										98							
89	89	265	265	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	643																	
89	89	266	266	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	644																	
89	89	266	266	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	645										99							
89	89	533/2	533/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	646																	
89	89	264	264	0.0	0	0	Spanner	3/4	2	1	0																					
89	89	264	264	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	647																	
89	89	265	265	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	648		articAccentAbove															
89	89	266	266	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	649																	
90	90	267	267	0.0	0	0	Dynamic	3/4	1	1	0					pp																
90	90	267	267	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	650										100							
90	90	268	268	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	651																	
90	90	267	267	0.0	0	0	Spanner	3/4	2	1	0																				26	26
90	90	267	267	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	652										101						26	26
90	90	268	268	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	653																26	26
90	90	270	270	0.0	3/4	3/4	Spanner	3/4	2	1	0																					
